date,DJIA,DJIA_return,Nasdaq_Composite_Index,Nasdaq_Composite_Index_return,S_P500,S_P500_return,Nasdaq_100,Nasdaq_100_return,HSI,HSI_return,SH,SH_return,BTC,BTC_return
06th week of 1971,888.83,44.32647413,102.05,172.7083782,98.43,54.92807071,,,,,,,,
07th week of 1971,878.56,44.85632171,100.7,175.03714,96.74,55.90510647,,,,,,,,
08th week of 1971,878.83,44.84223342,101.34,173.9253996,96.75,55.89922481,,,,,,,,
09th week of 1971,898,43.86361915,103,171.1062136,98.96,54.62853678,,,,,,,,
10th week of 1971,898.34,43.84663936,104.5,168.6357895,99.57,54.28773727,,,,,,,,
11th week of 1971,912.92,43.13040573,105.77,166.5989411,101.01,53.4995545,,,,,,,,
12th week of 1971,903.48,43.59150175,105.07,167.715523,99.95,54.07753877,,,,,,,,
13th week of 1971,903.04,43.61322865,106.86,164.889388,100.56,53.74343675,,,,,,,,
14th week of 1971,920.39,42.77223786,108.38,162.5628345,102.1,52.91772772,,,,,,,,
15th week of 1971,940.21,41.84950171,109.96,160.2126228,103.49,52.19354527,,,,,,,,
16th week of 1971,947.79,41.50681058,110.69,159.1494263,104.05,51.90725613,,,,,,,,
17th week of 1971,941.75,41.77943191,112.3,156.8534283,103.95,51.95815296,,,,,,,,
18th week of 1971,936.97,41.99767335,110.66,159.1928429,102.87,52.51414407,,,,,,,,
19th week of 1971,936.06,42.03947397,110.74,159.0771176,102.21,52.85970062,,,,,,,,
20th week of 1971,921.87,42.70196449,108.85,161.8565916,100.99,53.51034756,,,,,,,,
21th week of 1971,907.81,43.37881275,108.25,162.759261,99.63,54.25444143,,,,,,,,
22th week of 1971,922.15,42.6886949,110.66,159.1928429,101.3,53.34353406,,,,,,,,
23th week of 1971,916.47,42.95946403,110.2,159.8615245,101.07,53.46720095,,,,,,,,
24th week of 1971,889.16,44.30965181,108.16,162.8955251,98.97,54.62291604,,,,,,,,
25th week of 1971,876.68,44.95465848,106.56,165.3564189,97.99,55.17920196,,,,,,,,
26th week of 1971,890.19,44.25722599,108.77,161.9763722,99.78,54.17137703,,,,,,,,
27th week of 1971,901.8,43.67457308,110.91,158.8317555,100.69,53.67275797,,,,,,,,
28th week of 1971,888.51,44.34279862,109.98,160.1833061,99.11,54.54434467,,,,,,,,
29th week of 1971,887.78,44.3800829,109.63,160.6978929,98.94,54.63978169,,,,,,,,
30th week of 1971,858.43,45.93164265,105.27,167.3949843,95.58,56.59573132,,,,,,,,
31th week of 1971,850.61,46.36310413,103.78,169.8126807,94.25,57.40848806,,,,,,,,
32th week of 1971,856.02,46.06377187,105.44,167.1234825,95.69,56.52952242,,,,,,,,
33th week of 1971,880.91,44.73399099,107.89,163.3056817,98.33,54.98494864,,,,,,,,
34th week of 1971,908.15,43.36219787,109.3,161.1860933,100.48,53.78702229,,,,,,,,
35th week of 1971,912.75,43.13862503,109.98,160.1833061,100.69,53.67275797,,,,,,,,
36th week of 1971,911,43.22341383,110.42,159.5410252,100.42,53.81975702,,,,,,,,
37th week of 1971,908.22,43.35877871,110.1,160.0076294,99.96,54.07202881,,,,,,,,
38th week of 1971,889.31,44.30200942,108.88,161.8117193,98.15,55.08762099,,,,,,,,
39th week of 1971,893.98,44.0653594,109.58,160.7716737,98.93,54.64540584,,,,,,,,
40th week of 1971,893.91,44.06888837,110.74,159.0771176,99.36,54.40458937,,,,,,,,
41th week of 1971,874.58,45.06500263,109.6,160.7421533,97.79,55.2940996,,,,,,,,
42th week of 1971,852.37,46.26530732,106.8,164.9825843,95.57,56.60175787,,,,,,,,
43th week of 1971,839,47.01851013,105.1,167.6673644,94.23,57.42088507,,,,,,,,
44th week of 1971,840.39,46.9390878,105.46,167.0915987,94.46,57.27863646,,,,,,,,
45th week of 1971,812.94,48.55781484,103.91,169.5989799,92.12,58.75900999,,,,,,,,
46th week of 1971,810.67,48.69658431,102.95,171.1898009,91.61,59.09169305,,,,,,,,
47th week of 1971,816.59,48.33630096,101.64,173.4090909,91.94,58.87600609,,,,,,,,
48th week of 1971,859.59,45.86830931,107.26,164.270744,97.06,55.71749433,,,,,,,,
49th week of 1971,856.75,46.02367085,108.81,161.9164599,97.69,55.35172484,,,,,,,,
50th week of 1971,873.8,45.10612268,110.52,159.3957655,100.26,53.90724117,,,,,,,,
51th week of 1971,881.17,44.72049661,111.94,157.3610863,100.74,53.64562239,,,,,,,,
52th week of 1971,890.2,44.25671759,114.12,154.3359621,102.09,52.92300911,,,,,,,,
01th week of 1972,910.37,43.2540176,116.05,151.7526066,103.47,52.2038272,,,,,,,,
02th week of 1972,906.68,43.43412229,116.74,150.8497516,103.39,52.24499468,,,,,,,,
03th week of 1972,907.44,43.39690778,117.21,150.2408498,103.65,52.11143271,,,,,,,,
04th week of 1972,906.38,43.44882941,118.44,148.6702128,104.16,51.85138249,,,,,,,,
05th week of 1972,906.68,43.43412229,121.24,145.2136259,104.86,51.49856952,,,,,,,,
06th week of 1972,917.59,42.9058076,122.86,143.285691,105.08,51.38865626,,,,,,,,
07th week of 1972,917.52,42.90915729,123.4,142.654295,105.28,51.28913374,,,,,,,,
08th week of 1972,922.79,42.65839465,124.83,141.0086518,106.18,50.84592202,,,,,,,,
09th week of 1972,942.43,41.74856488,127.19,138.3736929,107.94,50.00055586,,,,,,,,
10th week of 1972,939.87,41.86500261,128.55,136.8991832,108.38,49.79350434,,,,,,,,
11th week of 1972,942.88,41.72816265,128.01,137.4808999,107.92,50.01000741,,,,,,,,
12th week of 1972,942.28,41.75536995,127.55,137.9803214,107.52,50.19977679,,,,,,,,
13th week of 1972,940.7,41.82718189,128.14,137.3404089,107.2,50.35261194,,,,,,,,
14th week of 1972,962.6,40.85282568,131.8,133.498786,109.62,49.21893815,,,,,,,,
15th week of 1972,967.72,40.63139131,133.88,131.4091724,109.84,49.11835397,,,,,,,,
16th week of 1972,963.8,40.80071592,133.01,132.2752425,108.89,49.55560658,,,,,,,,
17th week of 1972,954.17,41.22259136,131.33,133.9801264,107.67,50.12844804,,,,,,,,
18th week of 1972,941.23,41.8030662,129.43,135.9616009,106.63,50.62712182,,,,,,,,
19th week of 1972,941.83,41.77579818,129.44,135.9510198,106.38,50.74844896,,,,,,,,
20th week of 1972,961.54,40.89896416,132.16,133.1324153,108.98,49.51385575,,,,,,,,
21th week of 1972,971.25,40.48008237,133.95,131.3399776,110.66,48.74697271,,,,,,,,
22th week of 1972,961.39,40.90550141,133.52,131.7661774,109.73,49.16859564,,,,,,,,
23th week of 1972,934.45,42.11362834,130.57,134.7657961,106.86,50.51600225,,,,,,,,
24th week of 1972,945.06,41.62960024,131.28,134.0315356,108.36,49.80287929,,,,,,,,
25th week of 1972,944.69,41.64629667,130.22,135.1307019,108.27,49.84510945,,,,,,,,
26th week of 1972,929.03,42.36515505,130.08,135.277214,107.14,50.38137017,,,,,,,,
27th week of 1972,938.06,41.94771123,131.5,133.8056274,108.69,49.64863373,,,,,,,,
28th week of 1972,922.26,42.68348405,129.38,136.0145308,106.8,50.54494382,,,,,,,,
29th week of 1972,920.45,42.76938454,127.63,137.8932069,106.66,50.61260079,,,,,,,,
30th week of 1972,926.7,42.47418798,128.15,137.3296137,107.38,50.26653008,,,,,,,,
31th week of 1972,951.76,41.32950534,130.94,134.3821598,110.43,48.85058408,,,,,,,,
32th week of 1972,964.18,40.78424153,131.68,133.6213548,111.95,48.17373828,,,,,,,,
33th week of 1972,965.83,40.71285837,131.43,133.8774252,111.76,48.25733715,,,,,,,,
34th week of 1972,959.36,40.9941732,130.31,135.0366818,110.67,48.74247764,,,,,,,,
35th week of 1972,970.05,40.53139529,130.7,134.6307575,111.51,48.36776971,,,,,,,,
36th week of 1972,961.24,40.9120407,129.13,136.2797956,110.15,48.97730368,,,,,,,,
37th week of 1972,947.32,41.52789976,127.67,137.8496906,108.81,49.5927764,,,,,,,,
38th week of 1972,943.03,41.72136623,127.46,138.078456,108.52,49.72797641,,,,,,,,
39th week of 1972,953.27,41.2624545,129.61,135.7713911,110.55,48.79647218,,,,,,,,
40th week of 1972,945.36,41.61607218,128.13,137.3512058,109.62,49.21893815,,,,,,,,
41th week of 1972,930.46,42.29850826,127.19,138.3736929,107.92,50.01000741,,,,,,,,
42th week of 1972,942.81,41.73133505,128,137.4917188,109.24,49.39362871,,,,,,,,
43th week of 1972,946.42,41.56834175,129.53,135.8558635,110.62,48.76496113,,,,,,,,
44th week of 1972,984.12,39.9376194,133.34,131.9454027,114.22,47.19646297,,,,,,,,
45th week of 1972,995.26,39.47940237,133.12,132.1651142,113.73,47.40411501,,,,,,,,
46th week of 1972,1005.57,39.06437145,132.33,132.9600998,115.49,46.66646463,,,,,,,,
47th week of 1972,1025.21,38.29685625,133.02,132.2652233,117.27,45.94295216,,,,,,,,
48th week of 1972,1023.93,38.34598068,133.94,131.3498581,117.38,45.89896064,,,,,,,,
49th week of 1972,1033.19,37.99334101,135.15,130.1649279,118.86,45.31499243,,,,,,,,
50th week of 1972,1027.24,38.21919902,133.53,131.7562346,118.26,45.54997463,,,,,,,,
51th week of 1972,1004.21,39.11863057,131.28,134.0315356,115.83,46.52654753,,,,,,,,
52th week of 1972,1020.02,38.49680398,133.73,131.5576909,118.05,45.63278272,,,,,,,,
01th week of 1973,1047.49,37.46101633,135.91,129.431462,119.87,44.92475181,,,,,,,,
02th week of 1973,1039.36,37.76186307,136.01,129.3355636,119.3,45.14417435,,,,,,,,
03th week of 1973,1026.19,38.25932819,133.87,131.4190633,118.78,45.34618623,,,,,,,,
04th week of 1973,1003.54,39.14541523,129.76,135.6132861,116.45,46.27350794,,,,,,,,
05th week of 1973,980.81,40.07577411,126.48,139.1560721,114.35,47.14167031,,,,,,,,
06th week of 1973,979.46,40.13238928,125.86,139.8464961,114.68,47.00313917,,,,,,,,
07th week of 1973,979.23,40.14205039,124.55,141.3279004,114.98,46.87789181,,,,,,,,
08th week of 1973,959.89,40.97098626,122.34,143.8989701,113.16,47.64793213,,,,,,,,
09th week of 1973,961.32,40.90855282,120.11,146.5892099,112.28,48.02921268,,,,,,,,
10th week of 1973,972.23,40.43827078,121.99,144.3146979,113.79,47.37859214,,,,,,,,
11th week of 1973,963.05,40.8332693,121.22,145.2377495,113.54,47.48511538,,,,,,,,
12th week of 1973,922.71,42.66217988,115.47,152.5198753,108.88,49.56024982,,,,,,,,
13th week of 1973,951.01,41.36288788,117.46,149.9189511,111.52,48.3633429,,,,,,,,
14th week of 1973,931.07,42.27014081,113.27,155.5016333,109.28,49.37518302,,,,,,,,
15th week of 1973,959.36,40.9941732,115.22,152.8529769,112.08,48.11670236,,,,,,,,
16th week of 1973,963.2,40.82675457,114.15,154.295138,112.17,48.07729339,,,,,,,,
17th week of 1973,922.19,42.6867999,108.4,162.5326568,107.23,50.33824489,,,,,,,,
18th week of 1973,953.87,41.23587072,110.89,158.8605826,111,48.59459459,,,,,,,,
19th week of 1973,927.98,42.41422229,109.1,161.4834097,108.17,49.89211426,,,,,,,,
20th week of 1973,895.17,44.00545148,102.89,171.2902128,103.86,52.00404391,,,,,,,,
21th week of 1973,930.84,42.28083237,105.17,167.5551013,107.94,50.00055586,,,,,,,,
22th week of 1973,893.96,44.06636762,102.3,172.283871,103.93,51.96834408,,,,,,,,
23th week of 1973,920,42.79079348,103.72,169.9114925,107.03,50.43417733,,,,,,,,
24th week of 1973,888.55,44.34075741,102.26,172.3516527,105.1,51.37868696,,,,,,,,
25th week of 1973,879.82,44.79065036,100.99,174.5316368,103.7,52.08582449,,,,,,,,
26th week of 1973,891.71,44.18008097,100.98,174.5490196,104.26,51.80069058,,,,,,,,
27th week of 1973,870.11,45.30165152,99.48,177.1960193,101.28,53.3542654,,,,,,,,
28th week of 1973,885.99,44.47176605,103.03,171.0561002,104.09,51.88692478,,,,,,,,
29th week of 1973,910.9,43.22826875,107.68,163.6261144,107.14,50.38137017,,,,,,,,
30th week of 1973,936.71,42.0096081,109.36,161.0971105,109.59,49.23268546,,,,,,,,
31th week of 1973,908.87,43.32705447,106.82,164.9515072,106.49,50.69499484,,,,,,,,
32th week of 1973,892.38,44.14615971,105.32,167.3150399,104.77,51.54366708,,,,,,,,
33th week of 1973,871.84,45.20977473,103.71,169.9279722,102.31,52.80705698,,,,,,,,
34th week of 1973,863.49,45.65662602,102.4,172.1146484,101.62,53.17240701,,,,,,,,
35th week of 1973,887.57,44.39081988,104.87,168.0372843,104.25,51.8057554,,,,,,,,
36th week of 1973,898.63,43.83216674,107.02,164.6413754,104.76,51.5486827,,,,,,,,
37th week of 1973,886.36,44.45278442,106.07,166.1249175,104.44,51.70968977,,,,,,,,
38th week of 1973,927.9,42.4179653,109.46,160.9490225,107.2,50.35261194,,,,,,,,
39th week of 1973,947.1,41.53777848,111.2,158.4149281,108.43,49.77008208,,,,,,,,
40th week of 1973,971.25,40.48008237,112.56,156.488806,109.85,49.11379153,,,,,,,,
41th week of 1973,978.63,40.16727466,114.1,154.3631902,111.44,48.39877961,,,,,,,,
42th week of 1973,963.73,40.80375209,113.25,155.5292715,110.22,48.94556342,,,,,,,,
43th week of 1973,987.06,39.81568496,112.79,156.1676567,111.38,48.42539055,,,,,,,,
44th week of 1973,935.28,42.0753678,108.93,161.7369871,107.07,50.41496217,,,,,,,,
45th week of 1973,908.41,43.34950078,105.77,166.5989411,105.3,51.27920228,,,,,,,,
46th week of 1973,891.33,44.19934256,101.38,173.8563819,103.88,51.99383905,,,,,,,,
47th week of 1973,854,46.17509368,97.3,181.1884892,99.44,54.36001609,,,,,,,,
48th week of 1973,822.25,47.996692,93.51,188.572666,95.96,56.36765319,,,,,,,,
49th week of 1973,838.05,47.07294314,92.32,191.0162478,96.51,56.04072117,,,,,,,,
50th week of 1973,815.65,48.39315883,89.63,196.7790918,93.29,58.00954014,,,,,,,,
51th week of 1973,818.73,48.20734552,89.52,197.022118,93.54,57.85182809,,,,,,,,
52th week of 1973,848.02,46.50775925,91.68,192.3566754,97.54,55.43838425,,,,,,,,
00th week of 1974,880.23,44.76932165,94.1,187.3840595,98.9,54.66228514,,,,,,,,
01th week of 1974,841.48,46.87699054,92.23,191.2036214,93.66,57.77642537,,,,,,,,
02th week of 1974,855.47,46.09403018,95.32,184.9729333,95.56,56.60778568,,,,,,,,
03th week of 1974,859.39,45.87921665,95.4,184.8169811,96.63,55.96988513,,,,,,,,
04th week of 1974,843.94,46.73743394,94.15,187.2840149,95.32,56.75283256,,,,,,,,
05th week of 1974,820.4,48.10717942,92.2,191.2661605,92.33,58.62309109,,,,,,,,
06th week of 1974,820.32,48.1119685,90.98,193.8443614,92.27,58.66186193,,,,,,,,
07th week of 1974,855.99,46.06542133,92.93,189.7558377,95.39,56.71045183,,,,,,,,
08th week of 1974,851.92,46.29027373,94.05,187.4842105,95.53,56.62587669,,,,,,,,
09th week of 1974,878.05,44.88295655,95.17,185.2660502,97.78,55.29985682,,,,,,,,
10th week of 1974,887.83,44.37752723,96.53,182.6417694,99.28,54.44923449,,,,,,,,
11th week of 1974,878.13,44.87877649,95.45,184.7196438,97.27,55.59504472,,,,,,,,
12th week of 1974,846.68,46.58294751,92.27,191.1202991,93.98,57.57629283,,,,,,,,
13th week of 1974,847.54,46.53466503,90.7,194.4458655,93.01,58.18718417,,,,,,,,
14th week of 1974,844.81,46.6882731,89.79,196.4266622,92.12,58.75900999,,,,,,,,
15th week of 1974,859.9,45.85141295,90.31,195.2898904,93.75,57.72,,,,,,,,
16th week of 1974,834.64,47.26934966,86.24,204.5535714,90.18,60.04457751,,,,,,,,
17th week of 1974,845.9,46.6268235,87.47,201.6630845,91.29,59.30233322,,,,,,,,
18th week of 1974,850.44,46.37257185,84.3,209.2839858,91.47,59.18366678,,,,,,,,
19th week of 1974,818.84,48.20073519,81.93,215.3668986,88.21,61.40789026,,,,,,,,
20th week of 1974,816.65,48.33267618,81.45,216.641989,88.58,61.14721156,,,,,,,,
21th week of 1974,802.17,49.22318212,80.2,220.0341646,87.28,62.07286893,,,,,,,,
22th week of 1974,853.72,46.19056599,83.71,210.7660972,92.55,58.48136143,,,,,,,,
23th week of 1974,843.09,46.78556263,82.76,213.1969551,91.3,59.29572837,,,,,,,,
24th week of 1974,815.39,48.40890862,79.11,223.0796359,87.46,61.94305968,,,,,,,,
25th week of 1974,802.41,49.20816042,75.96,232.3720379,86,63.01162791,,,,,,,,
26th week of 1974,791.77,49.88287003,73.57,239.9533777,83.66,64.80205594,,,,,,,,
27th week of 1974,787.23,50.17631442,71.68,246.3066406,83.15,65.20565244,,,,,,,,
28th week of 1974,787.94,50.13020027,73.4,240.5114441,83.54,64.89657649,,,,,,,,
29th week of 1974,784.57,50.3498222,72.83,242.4016202,82.4,65.80825243,,,,,,,,
30th week of 1974,752.58,52.53255468,69.4,254.4314121,78.59,69.04707978,,,,,,,,
31th week of 1974,777.3,50.83009134,70.69,249.7701231,80.86,67.08063319,,,,,,,,
32th week of 1974,731.54,54.07221751,65.86,268.1609475,75.67,71.75009911,,,,,,,,
33th week of 1974,686.8,57.65976995,62.57,282.3137286,71.55,75.93920335,,,,,,,,
34th week of 1974,678.58,58.3703469,62.37,283.2222222,72.15,75.2993763,,,,,,,,
35th week of 1974,677.88,58.43165457,60.7,291.0418451,71.42,76.07924951,,,,,,,,
36th week of 1974,627.19,63.23496867,56.66,311.8651606,65.2,83.43251534,,,,,,,,
37th week of 1974,670.76,59.06251118,59.9,294.9422371,70.14,77.48588537,,,,,,,,
38th week of 1974,621.95,63.77615564,57.12,309.3455882,64.94,83.77055744,,,,,,,,
39th week of 1974,584.56,67.91940947,55.16,320.3730964,62.34,87.30606352,,,,,,,,
40th week of 1974,658.17,60.21143474,60.42,292.3952334,71.14,76.38262581,,,,,,,,
41th week of 1974,654.88,60.51895004,62.75,281.5010359,72.28,75.16214721,,,,,,,,
42th week of 1974,636.19,62.32625474,62.88,280.9169847,70.12,77.50827153,,,,,,,,
43th week of 1974,665.28,59.55725409,65.06,271.4706425,73.88,73.51272334,,,,,,,,
44th week of 1974,667.16,59.38660891,66.51,265.5304465,74.91,72.48818582,,,,,,,,
45th week of 1974,647.61,61.20955513,64.41,274.2203074,71.91,75.55402587,,,,,,,,
46th week of 1974,615.3,64.47623923,62.07,284.5959401,68.9,78.89840348,,,,,,,,
47th week of 1974,618.66,64.12063169,62.95,280.6034948,69.97,77.67657568,,,,,,,,
48th week of 1974,577.6,68.74987881,58.21,303.5342725,65.01,83.67928011,,,,,,,,
49th week of 1974,592.77,66.9648599,59.22,298.3404255,67.07,81.07842553,,,,,,,,
50th week of 1974,598.48,66.31641826,58.67,301.1465826,66.91,81.27469735,,,,,,,,
51th week of 1974,602.16,65.90502524,58.74,300.7865169,67.14,80.99285076,,,,,,,,
00th week of 1975,634.54,62.49092256,61.23,288.5139637,70.71,76.85320322,,,,,,,,
01th week of 1975,658.79,60.15382747,63.69,277.3316062,72.61,74.81600331,,,,,,,,
02th week of 1975,644.63,61.49713789,64.4,274.2630435,70.96,76.5789177,,,,,,,,
03th week of 1975,666.61,59.4364321,65.38,270.137045,72.98,74.4316251,,,,,,,,
04th week of 1975,703.69,56.25181543,69.78,253.0404127,76.98,70.51208106,,,,,,,,
05th week of 1975,711.91,55.59076288,71.12,248.253937,78.63,69.01144601,,,,,,,,
06th week of 1975,734.2,53.87269136,73.26,240.972973,81.5,66.54601227,,,,,,,,
07th week of 1975,749.77,52.73318484,73.79,239.2349912,82.62,65.63035585,,,,,,,,
08th week of 1975,739.05,53.51259049,73,241.8347945,81.59,66.47150386,,,,,,,,
09th week of 1975,770.1,51.31467342,74.4,237.2653226,84.3,64.3024911,,,,,,,,
10th week of 1975,773.47,51.08673898,76.07,232.0345734,84.76,63.94808872,,,,,,,,
11th week of 1975,763.06,51.79732917,75.92,232.4949947,83.39,65.01510973,,,,,,,,
12th week of 1975,770.26,51.30380651,76.18,231.6980835,83.85,64.6529517,,,,,,,,
13th week of 1975,747.26,52.91367128,74.73,236.2131674,80.88,67.06379822,,,,,,,,
14th week of 1975,789.5,50.02917036,76.31,231.3016643,84.18,64.3955809,,,,,,,,
15th week of 1975,808.43,48.83428374,78.08,226.0356045,86.3,62.78910776,,,,,,,,
16th week of 1975,811.8,48.62740823,78.64,224.4188708,86.62,62.55345186,,,,,,,,
17th week of 1975,848.48,46.48200311,80.25,219.8964486,89.22,60.70141224,,,,,,,,
18th week of 1975,850.13,46.38984626,82.82,213.0417773,90.53,59.80857174,,,,,,,,
19th week of 1975,837.61,47.09819606,82.44,214.0283843,90.43,59.87581555,,,,,,,,
20th week of 1975,831.9,47.42833273,82.62,213.5599129,90.58,59.77500552,,,,,,,,
21th week of 1975,832.29,47.40563986,83.1,212.3205776,91.15,59.39495337,,,,,,,,
22th week of 1975,839.64,46.98190891,84.77,208.1180842,92.48,58.52638408,,,,,,,,
23th week of 1975,824.47,47.8647616,83.43,211.4768069,90.52,59.81528944,,,,,,,,
24th week of 1975,855.44,46.09568175,85.24,206.9650399,92.61,58.44282475,,,,,,,,
25th week of 1975,873.12,45.14203088,86.5,203.9357225,94.81,57.06349541,,,,,,,,
26th week of 1975,871.79,45.21242501,86.2,204.6489559,94.36,57.34039847,,,,,,,,
27th week of 1975,871.09,45.24956089,87.2,202.2905963,94.66,57.15550391,,,,,,,,
28th week of 1975,862.41,45.71505432,87.02,202.7111009,93.2,58.06652361,,,,,,,,
29th week of 1975,834.09,47.30117853,83.6,211.0447368,89.29,60.65304065,,,,,,,,
30th week of 1975,826.5,47.74474289,81.62,216.1886792,87.99,61.56392772,,,,,,,,
31th week of 1975,817.74,48.26691858,79.55,221.8402263,86.02,62.99674494,,,,,,,,
32th week of 1975,825.64,47.79551621,78.58,224.5909901,86.36,62.74478925,,,,,,,,
33th week of 1975,804.76,49.0615463,76.45,230.876259,84.28,64.31798766,,,,,,,,
34th week of 1975,835.34,47.22890081,79.01,223.3632452,86.88,62.36325967,,,,,,,,
35th week of 1975,835.97,47.19255476,77.78,226.9112882,85.62,63.2957253,,,,,,,,
36th week of 1975,809.23,48.78501786,74.72,236.2449143,83.3,65.08643457,,,,,,,,
37th week of 1975,829.79,47.55147688,76.39,231.0583846,85.88,63.10107126,,,,,,,,
38th week of 1975,818.6,48.21516003,76.14,231.820331,86.19,62.87051862,,,,,,,,
39th week of 1975,813.21,48.54136078,75.5,233.7939073,85.95,63.04886562,,,,,,,,
40th week of 1975,823.91,47.89797429,76.96,229.339657,88.21,61.40789026,,,,,,,,
41th week of 1975,832.18,47.41203826,77.63,227.3516682,88.86,60.9513842,,,,,,,,
42th week of 1975,840.52,46.93167325,78.62,224.4762147,89.83,60.28242235,,,,,,,,
43th week of 1975,836.04,47.18851969,76.99,229.2499026,89.04,60.82614555,,,,,,,,
44th week of 1975,835.8,47.20235702,77.21,228.593835,89.33,60.62543378,,,,,,,,
45th week of 1975,853.67,46.19332998,78.98,223.448468,90.97,59.51445531,,,,,,,,
46th week of 1975,840.76,46.91799087,77.74,227.0285567,89.53,60.48776946,,,,,,,,
47th week of 1975,860.67,45.80949725,78.8,223.9611675,91.24,59.33537922,,,,,,,,
48th week of 1975,818.8,48.20313874,74.72,236.2449143,86.82,62.40704907,,,,,,,,
49th week of 1975,832.81,47.37541576,74.91,235.6431718,87.83,61.67790049,,,,,,,,
50th week of 1975,844.38,46.71255833,75.92,232.4949947,88.8,60.99324324,,,,,,,,
51th week of 1975,859.81,45.85631709,77.13,228.831972,90.25,59.99722992,,,,,,,,
00th week of 1976,858.71,45.91633963,78.06,226.093774,90.9,59.56105611,,,,,,,,
01th week of 1976,911.13,43.21710404,82.31,214.367999,94.95,56.9778831,,,,,,,,
02th week of 1976,929.63,42.3371664,84.3,209.2839858,97,55.75257732,,,,,,,,
03th week of 1976,953.95,41.23232874,85.26,206.9162562,99.21,54.48835803,,,,,,,,
04th week of 1976,975.28,40.30868058,87.05,202.640896,100.86,53.58060678,,,,,,,,
05th week of 1976,954.9,41.19031312,87.25,202.1740974,99.46,54.34888397,,,,,,,,
06th week of 1976,958.36,41.03799199,88.96,198.2686601,99.67,54.23226648,,,,,,,,
07th week of 1976,987.8,39.78510832,91.02,193.7587343,102.1,52.91772772,,,,,,,,
08th week of 1976,972.61,40.42208079,90.26,195.3986262,99.71,54.21010932,,,,,,,,
09th week of 1976,972.92,40.40888254,89.47,197.1327819,99.11,54.54434467,,,,,,,,
10th week of 1976,987.64,39.7917156,90.99,193.8229476,100.86,53.58060678,,,,,,,,
11th week of 1976,979.85,40.11601776,89.54,196.977887,100.58,53.7325512,,,,,,,,
12th week of 1976,1003.46,39.14861579,90.89,194.0372978,102.85,52.52455032,,,,,,,,
13th week of 1976,991.58,39.6296315,90.63,194.5968222,102.25,52.83863081,,,,,,,,
14th week of 1976,968.28,40.607314,88.89,198.4255822,100.35,53.85799701,,,,,,,,
15th week of 1976,980.48,40.08959897,89.17,197.799372,100.67,53.68361975,,,,,,,,
16th week of 1976,1000.71,39.25894615,90.6,194.6615894,102.29,52.81757748,,,,,,,,
17th week of 1976,996.85,39.41483674,90.08,195.7910746,101.64,53.16174734,,,,,,,,
18th week of 1976,996.22,39.44039469,90.02,195.9222395,101.88,53.03415783,,,,,,,,
19th week of 1976,992.6,39.58788031,89.78,196.4486523,101.34,53.32208407,,,,,,,,
20th week of 1976,990.75,39.66366894,89.39,197.3101018,101.26,53.36500099,,,,,,,,
21th week of 1976,975.23,40.31079848,88.04,200.3509768,100.18,53.95108804,,,,,,,,
22th week of 1976,963.9,40.79637929,87.75,201.0164103,99.15,54.52193646,,,,,,,,
23th week of 1976,978.8,40.16012464,87.71,201.1085395,100.92,53.54815696,,,,,,,,
24th week of 1976,1001.88,39.21193157,90.05,195.8566352,103.76,52.05512722,,,,,,,,
25th week of 1976,999.84,39.29397704,90.05,195.8566352,103.72,52.07558812,,,,,,,,
26th week of 1976,999.84,39.29397704,90.88,194.0587588,104.11,51.87676496,,,,,,,,
27th week of 1976,1003.11,39.16262424,91.48,192.7794053,104.98,51.43855973,,,,,,,,
28th week of 1976,993.21,39.56295245,92.4,190.85,104.68,51.58884219,,,,,,,,
29th week of 1976,990.91,39.65710307,91.6,192.5255459,104.06,51.90217182,,,,,,,,
30th week of 1976,984.64,39.91599976,91.29,193.1827144,103.44,52.21925754,,,,,,,,
31th week of 1976,986,39.85956389,91.64,192.4410738,103.79,52.03979189,,,,,,,,
32th week of 1976,990.19,39.6866662,91.81,192.0828886,104.25,51.8057554,,,,,,,,
33th week of 1976,974.07,40.35999466,90.19,195.5510589,102.37,52.77552017,,,,,,,,
34th week of 1976,963.93,40.79507848,89.14,197.8662778,101.48,53.24714229,,,,,,,,
35th week of 1976,989.11,39.73109159,91.02,193.7587343,104.3,51.78044104,,,,,,,,
36th week of 1976,988.36,39.76199968,91.19,193.3956574,104.65,51.60391782,,,,,,,,
37th week of 1976,995.1,39.48591096,91.61,192.5044209,106.27,50.80201374,,,,,,,,
38th week of 1976,1009.31,38.91591285,92.31,191.0370491,106.8,50.54494382,,,,,,,,
39th week of 1976,979.89,40.11433936,90.44,195.0077399,104.17,51.84630892,,,,,,,,
40th week of 1976,952.38,41.3019488,89.38,197.3322891,102.56,52.67589704,,,,,,,,
41th week of 1976,937,41.99629669,89.06,198.0449135,100.88,53.56978588,,,,,,,,
42th week of 1976,938.75,41.91614381,89.26,197.5989245,99.96,54.07202881,,,,,,,,
43th week of 1976,964.93,40.75176438,90.35,195.2029884,102.9,52.49854227,,,,,,,,
44th week of 1976,943.07,41.71955422,89.47,197.1327819,100.82,53.60226146,,,,,,,,
45th week of 1976,927.69,42.42779377,88.1,200.2138479,99.24,54.47158404,,,,,,,,
46th week of 1976,948.8,41.46156197,89.97,196.0316772,101.92,53.01295133,,,,,,,,
47th week of 1976,956.62,41.11445506,91.42,192.906585,103.15,52.36888027,,,,,,,,
