date,DJIA,DJIA_return,Nasdaq_Composite_Index,Nasdaq_Composite_Index_return,S_P500,S_P500_return,Nasdaq_100,Nasdaq_100_return,HSI,HSI_return,SH,SH_return,BTC,BTC_return
34th week of 2016,18395.4,1.190087196,5218.92,2.396668276,2169.04,1.537989156,4783.69,3.081079669,22909.54,-0.2397193484,3070.31,-0.02866160095,,
35th week of 2016,18491.96,1.178651154,5249.9,2.376624317,2179.98,1.525252525,4798.74,3.068280424,23266.7,-0.2513901843,3067.35,-0.02772425709,,
36th week of 2016,18085.45,1.227621099,5125.91,2.458301063,2127.81,1.587167087,4681.54,3.170127778,24099.7,-0.2772656921,3078.86,-0.0313590095,,
37th week of 2016,18123.8,1.222907448,5244.57,2.380055944,2139.16,1.573440042,4818.05,3.051975384,23335.59,-0.2536001875,3002.85,-0.006840168507,,
38th week of 2016,18261.45,1.206151757,5305.75,2.341080903,2164.69,1.543089311,4858.91,3.017901134,23686.48,-0.2646573066,3033.9,-0.01700451564,,
39th week of 2016,18308.15,1.200524357,5312,2.337149849,2168.27,1.538890452,4875.7,3.004065057,23297.15,-0.2523686374,3004.7,-0.007451659067,,
40th week of 2016,18240.49,1.208686828,5292.4,2.349508729,2153.74,1.556018832,4864.52,3.013267496,23851.82,-0.269754677,,#DIV/0!,,
41th week of 2016,18138.38,1.221120629,5214.16,2.39976909,2132.98,1.580896211,4808.48,3.060039763,23233.31,-0.2503143116,3063.81,-0.02660086624,,
42th week of 2016,18145.71,1.220223403,5257.4,2.371807357,2141.16,1.571036261,4851.86,3.023739349,23374.4,-0.2548394825,3090.94,-0.03514464855,,
43th week of 2016,18161.19,1.218330957,5190.1,2.415529566,2130.2,1.584264388,4805.59,3.062481402,22954.81,-0.241218725,3104.27,-0.03928781968,,
44th week of 2016,17888.28,1.252174608,5046.37,2.512810198,2085.179,1.640061117,4660.46,3.188989928,22642.62,-0.2307568647,3125.32,-0.04575851433,,
45th week of 2016,18847.66,1.137534845,5237.11,2.384870663,2164.45,1.543371295,4751.95,3.108338682,22531.09,-0.2269490735,3196.04,-0.06687338081,,
46th week of 2016,18867.93,1.135238471,5321.51,2.331186073,2181.9,1.523030386,4808.04,3.060411311,22344.21,-0.2204835168,3192.86,-0.06594401258,,
47th week of 2016,19152.14,1.103552397,5398.92,2.283423351,2213.35,1.487180066,4870.02,3.008735077,22723.45,-0.2334931535,3261.94,-0.08572505932,,
48th week of 2016,19170.42,1.101546549,5255.65,2.372930085,2191.95,1.511462396,4739.37,3.119243697,22564.82,-0.2281046337,3243.84,-0.08062358193,,
49th week of 2016,19756.85,1.039167681,5444.5,2.255935348,2259.53,1.436347382,4895.9,2.98754468,22760.98,-0.2347570272,3232.88,-0.07750674321,,
